atributo,importancia
danceability,0.25165959204697963
energy,0.21260463740706734
tempo,0.12102993705723024
acousticness,0.1002359815275271
valence,0.09714883699021448
loudness,0.08561475687151447
track_genre_pop,0.0342156440343259
instrumentalness,0.02869680437795718
duration_ms,0.025290315932138145
speechiness,0.023049588280095564
liveness,0.020453905474950147
track_genre_dance,0.0
track_genre_electronic,0.0
track_genre_funk,0.0
track_genre_indie,0.0
track_genre_hip-hop,0.0
track_genre_latin,0.0
track_genre_r&b,0.0
track_genre_rock,0.0
track_genre_sertanejo,0.0
